tweet_id,date_created,favorite_count,retweet_count
835536468978302976,Sat Feb 25 17:06:32 +0000 2017,0,1540
835309094223372289,Sat Feb 25 02:03:02 +0000 2017,0,19126
835297930240217089,Sat Feb 25 01:18:40 +0000 2017,15409,2734
835264098648616962,Fri Feb 24 23:04:14 +0000 2017,7220,1540
835246439529840640,Fri Feb 24 21:54:03 +0000 2017,1988,63
835172783151792128,Fri Feb 24 17:01:22 +0000 2017,24521,5288
835152434251116546,Fri Feb 24 15:40:31 +0000 2017,20894,2755
834931633769889797,Fri Feb 24 01:03:08 +0000 2017,10081,1490
834786237630337024,Thu Feb 23 15:25:23 +0000 2017,20169,5105
834574053763584002,Thu Feb 23 01:22:14 +0000 2017,12788,2311
834477809192075265,Wed Feb 22 18:59:48 +0000 2017,0,9748
834458053273591808,Wed Feb 22 17:41:18 +0000 2017,9017,1545
834209720923721728,Wed Feb 22 01:14:30 +0000 2017,19217,4318
834167344700198914,Tue Feb 21 22:26:07 +0000 2017,14800,3359
834089966724603904,Tue Feb 21 17:18:39 +0000 2017,9424,1961
834086379323871233,Tue Feb 21 17:04:24 +0000 2017,12216,2038
833863086058651648,Tue Feb 21 02:17:06 +0000 2017,12582,2208
833826103416520705,Mon Feb 20 23:50:09 +0000 2017,17047,3483
833732339549220864,Mon Feb 20 17:37:34 +0000 2017,0,204
833722901757046785,Mon Feb 20 17:00:04 +0000 2017,19637,2994
833479644947025920,Mon Feb 20 00:53:27 +0000 2017,13969,1882
833124694597443584,Sun Feb 19 01:23:00 +0000 2017,18958,4436
832998151111966721,Sat Feb 18 17:00:10 +0000 2017,12406,2009
832769181346996225,Sat Feb 18 01:50:19 +0000 2017,0,38
832757312314028032,Sat Feb 18 01:03:09 +0000 2017,15816,3315
832682457690300417,Fri Feb 17 20:05:43 +0000 2017,11124,2664
832645525019123713,Fri Feb 17 17:38:57 +0000 2017,2733,484
832636094638288896,Fri Feb 17 17:01:29 +0000 2017,14863,2556
832397543355072512,Fri Feb 17 01:13:34 +0000 2017,11216,2036
832369877331693569,Thu Feb 16 23:23:38 +0000 2017,16049,2915
832273440279240704,Thu Feb 16 17:00:25 +0000 2017,10628,2140
832215909146226688,Thu Feb 16 13:11:49 +0000 2017,0,5711
832215726631055365,Thu Feb 16 13:11:05 +0000 2017,0,8573
832088576586297345,Thu Feb 16 04:45:50 +0000 2017,58,2
832040443403784192,Thu Feb 16 01:34:34 +0000 2017,0,8807
832032802820481025,Thu Feb 16 01:04:13 +0000 2017,16737,4294
831939777352105988,Wed Feb 15 18:54:34 +0000 2017,22445,5648
831926988323639298,Wed Feb 15 18:03:45 +0000 2017,319,34
831911600680497154,Wed Feb 15 17:02:36 +0000 2017,25789,5959
831670449226514432,Wed Feb 15 01:04:21 +0000 2017,9771,1686
831650051525054464,Tue Feb 14 23:43:18 +0000 2017,6668,1783
831552930092285952,Tue Feb 14 17:17:22 +0000 2017,8432,2157
831322785565769729,Tue Feb 14 02:02:51 +0000 2017,8744,1441
831315979191906304,Tue Feb 14 01:35:49 +0000 2017,6167,1036
831309418084069378,Tue Feb 14 01:09:44 +0000 2017,11071,2259
831262627380748289,Mon Feb 13 22:03:49 +0000 2017,11128,1885
830956169170665475,Mon Feb 13 01:46:03 +0000 2017,7489,1373
830583320585068544,Sun Feb 12 01:04:29 +0000 2017,62233,15379
830173239259324417,Fri Feb 10 21:54:58 +0000 2017,0,5229
830097400375152640,Fri Feb 10 16:53:37 +0000 2017,9131,2688
829878982036299777,Fri Feb 10 02:25:42 +0000 2017,0,4592
829861396166877184,Fri Feb 10 01:15:49 +0000 2017,11491,1790
829501995190984704,Thu Feb 09 01:27:41 +0000 2017,29823,9748
829449946868879360,Wed Feb 08 22:00:52 +0000 2017,9846,1858
829141528400556032,Wed Feb 08 01:35:19 +0000 2017,22847,6753
829011960981237760,Tue Feb 07 17:00:28 +0000 2017,50162,15063
828801551087042563,Tue Feb 07 03:04:22 +0000 2017,0,3151
828770345708580865,Tue Feb 07 01:00:22 +0000 2017,24012,5385
828708714936930305,Mon Feb 06 20:55:28 +0000 2017,34155,10298
828650029636317184,Mon Feb 06 17:02:17 +0000 2017,8929,1233
828409743546925057,Mon Feb 06 01:07:28 +0000 2017,6025,1078
